コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1515	日鉄鉱業	プライム（内国株式）	1050	鉱業	2	エネルギー資源	6	TOPIX Small 1	2393.0	2.59	62.0	2.69	62.0	2.59	配当あり	いいえ	13.42	1.2	1882.9	4535.0	1446.0	Basic Materials			OK	通常掲載可	OK	209717.0	8.98	6.58	50.68	0.41	-25359.0	178.33	34.77	10.15	1
1518	三井松島ホールディングス	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	1516.0	4.88	74.0	4.95	74.0	4.88	配当あり	いいえ	10.22	1.04	561.3	1600.0	1002.0	Energy			OK	通常掲載可	OK	65468.0	14.62	8.08	43.5	0.92	3308.0	148.3	49.9	11.11	1
151A	ダイブ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	627.0						配当未取得		11.3	2.03	52.7	1011.0	566.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	12363.4	4.39	49.57	43.94	0.19	-25.3	55.48		19.67	
153A	カウリス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1178.0	0.47	5.5	0.47	5.5	0.47	配当あり	いいえ	27.47	4.82	74.3	2888.0	958.0	Technology			OK	通常掲載可	OK	1400.7	29.13	14.32	75.91	0.06	140.3	42.88	12.83	23.09	
155A	情報戦略テクノロジー	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	878.0						配当未取得		31.32	4.79	90.3	1750.0	463.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8019.6	6.92	37.13	42.71	0.73	401.0	28.03		15.29	
156A	マテリアルグループ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	828.0	3.15	26.1	3.11	26.1	3.15	配当あり	いいえ	12.87	3.66	78.2	976.0	644.0	Communication Services			OK	通常掲載可	OK	6288.3	13.24	19.06	55.39	0.11	649.3	64.35	40.56	29.51	1
157A	グリーンモンスター	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	835.0	1.2	10.0	1.13	10.0	1.2	配当あり	いいえ		2.08	26.8	2146.0	497.0	Technology			OK	通常掲載可	OK	1957.5	11.8	14.37	79.57	0.04	114.4	-6.63		-9.98	0
1605	ＩＮＰＥＸ	プライム（内国株式）	1050	鉱業	2	エネルギー資源	4	TOPIX Mid400	3205.0	3.37	108.0	3.31	108.0	3.37	配当あり	いいえ	9.7	0.76	37248.2	4955.0	2000.5	Energy			OK	通常掲載可	OK	2011351.0	52.87	-11.23	61.37	0.26	353676.0	330.42	32.69	8.28	5
160A	アズパートナーズ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1940.0	4.12	80.0	4.12	80.0	4.12	配当あり	いいえ	5.92	1.36	69.6	3550.0	1880.0	Industrials			OK	通常掲載可	OK	23661.0	6.44	32.05	21.21	1.96	-646.0	327.56	24.42	25.82	
1662	石油資源開発	プライム（内国株式）	1050	鉱業	2	エネルギー資源	6	TOPIX Small 1	1570.0	2.87	45.0	2.81	45.0	2.87	配当あり	いいえ	7.52	0.64	4019.2	2819.0	1017.0	Energy			OK	通常掲載可	OK	340336.0	11.43	-12.53	72.76	0.0	73733.0	208.77	21.55	9.15	0
1663	Ｋ＆Ｏエナジーグループ	プライム（内国株式）	1050	鉱業	2	エネルギー資源	6	TOPIX Small 1	1866.0	1.61	30.0	1.58	30.0	1.61	配当あり	いいえ	11.93	0.93	996.5	2845.0	1353.0	Utilities			OK	通常掲載可	OK	91354.0	11.6	-1.15	82.52	0.01	7709.0	156.45	19.18	7.92	4
166A	タスキホールディングス	グロース（内国株式）	8050	不動産業	17	不動産	-	-	1171.0	3.42	40.0	3.34	40.0	3.42	配当あり	いいえ	12.82	2.27	722.7	1237.0	638.0	Technology			OK	通常掲載可	OK	74412.2	11.85	56.8	38.35	1.47	-7252.3	91.36	43.78	17.71	1
167A	リョーサン菱洋ホールディングス	プライム（内国株式）	6050	卸売業	13	商社・卸売	6	TOPIX Small 1	2711.0	5.16	140.0	5.22	140.0	5.16	配当あり	いいえ	14.62	0.79	1087.1	3450.0	2606.0	Technology			OK	通常掲載可	OK	359948.0	2.81	0.04	54.58	0.34	-2782.0	185.46	75.49	5.54	0
168A	イタミアート	グロース（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1101.0	1.82	20.0	1.83	20.0	1.82	配当あり	いいえ	10.72	1.22	16.2	2063.0	996.0	Communication Services			OK	通常掲載可	OK	4761.2	4.55	32.05	26.22	2.22	-358.3	102.73	19.47	11.94	
1711	ＳＤＳホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	216.0						配当未取得			3.87	22.5	341.0	212.0	Utilities	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	5251.5	2.18	30.13	10.36	7.39	-1106.1	-6.65		-5.69	
1716	第一カッター興業	スタンダード（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	1334.0	3.0	40.0	2.98	40.0	3.0	配当あり	いいえ	8.78	0.75	150.1	1626.0	1266.0	Industrials			OK	通常掲載可	OK	20228.6	8.14	-3.3	86.44	0.02	853.4	151.89	26.33	9.41	6
1717	明豊ファシリティワークス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	904.0	4.87	44.0	4.87	44.0	4.87	配当あり	いいえ	11.39	1.75	106.3	1155.0	880.0	Industrials			OK	通常掲載可	OK	6114.7	20.76	6.96	71.34		1265.7	79.37	55.44	16.04	4
1718	美樹工業	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	6980.0	4.3	300.0	4.32	300.0	4.3	配当あり	いいえ	4.85	0.43	74.9	9970.0	6220.0	Industrials			OK	通常掲載可	OK	36151.7	7.15	32.46	44.3	0.62	-2677.3	1437.97	20.86	9.2	1
1719	安藤・間	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1769.5	4.75	84.0	4.68	84.0	4.75	配当あり	いいえ	9.33	1.33	2776.0	2270.0	1451.0	Industrials			OK	通常掲載可	OK	439615.0	7.65	3.4	50.6	0.13	25911.0	189.68	44.29	15.62	5
1720	東急建設	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	1177.0	3.74	44.0	3.75	44.0	3.74	配当あり	いいえ	9.32	1.12	1250.8	1693.0	997.0	Industrials			OK	通常掲載可	OK	341180.0	4.78	16.39	35.85	0.33	2940.0	126.22	34.86	12.61	0
1721	コムシスホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	5421.0	2.49	135.0	2.48	135.0	2.49	配当あり	いいえ	17.51	1.56	6263.1	6211.0	3269.0	Industrials			OK	通常掲載可	OK	630658.0	8.07	2.61	70.87	0.01	28850.0	309.62	43.6	9.37	2
1723	日本電技	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2331.0	3.09	72.0	3.09	72.0	3.09	配当あり	いいえ	17.6	3.17	1485.6	3147.5	1068.75	Technology			OK	通常掲載可	OK	46371.0	25.5	7.69	76.69	0.01	8315.0	132.41	54.38	15.87	1
1724	シンクレイヤ	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	684.0	4.39	30.0	4.39	30.0	4.39	配当あり	いいえ	13.14	1.24	30.6	752.0	638.0	Technology			OK	通常掲載可	OK	10488.0	3.35	-10.44	63.22	0.24	1374.0	52.05	57.64	25.2	0
1726	ビーアールホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	-	-							配当未取得								yfinanceデータなし	yfinanceで株価・配当データが取得できなかった	除外推奨	掲載非推奨	データなし										
1736	オーテック	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2510.0	3.9	98.0	3.88	98.0	3.9	配当あり	いいえ	10.72	1.47	388.9	2792.0	1324.0	Industrials			OK	通常掲載可	OK	31424.1	12.81	6.98	64.54	0.09	2807.5	234.07	41.87	14.64	2
173A	ハンモック	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1370.0	6.57	90.0	6.57	90.0	6.57	配当あり	いいえ	8.54	1.8	57.8	1850.0	1278.0	Technology			OK	通常掲載可	OK	4889.8	17.07	3.86	45.15	0.0	922.5	160.43	56.1	23.08	
1758	太洋基礎工業	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2410.0	2.7	65.0	2.7	65.0	2.7	配当あり	いいえ	10.38	0.5	48.1	2805.0	1798.0	Industrials			OK	通常掲載可	OK	14511.5	3.8	7.64	76.32	0.02	525.7	232.08	28.01	5.87	2
175A	Ｗｉｌｌ　Ｓｍａｒｔ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	601.0						配当未取得			-17.34	13.0	1612.0	588.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	805.2	-35.16	-25.85	0.73	105.47	-183.7	-283.17			
1762	高松コンストラクショングループ	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	3555.0	4.05	144.0	4.01	144.0	4.05	配当あり	いいえ	10.83	0.84	1237.8	4420.0	2935.0	Industrials			OK	通常掲載可	OK	357675.0	5.0	3.17	46.66	0.35	-18223.0	328.13	43.89	8.04	0
1764	工藤建設	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2625.0	4.46	117.0	4.39	117.0	4.46	配当あり	いいえ	6.67	0.57	32.7	3495.0	2595.0	Industrials			OK	通常掲載可	OK	20521.4	2.3	4.81	31.28	1.28	3010.9	393.65	29.72	8.55	1
1766	東建コーポレーション	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	12750.0	3.14	400.0	3.15	400.0	3.14	配当あり	いいえ	10.29	1.22	1415.4	15450.0	11800.0	Real Estate			OK	通常掲載可	OK	366639.0	6.07	7.57	58.49		19892.0	1238.84	32.29	12.92	1
1768	ソネック	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1057.0	4.73	50.0	4.71	50.0	4.73	配当あり	いいえ	5.65	0.74	77.2	1796.0	869.0	Industrials			OK	通常掲載可	OK	22753.8	8.24	49.73	66.17		3085.8	187.16	26.72	14.04	0
